"filename", "language", "CSS", "Markdown", "TypeScript React", "TypeScript", "JSON", "XML", "JavaScript", "comment", "blank", "total"
"/Users/junioradessu/Documents/ambient-ts-app/src/App/APP.md", "Markdown", 0, 6, 0, 0, 0, 0, 0, 0, 5, 11
"/Users/junioradessu/Documents/ambient-ts-app/src/App/App.css", "CSS", 196, 0, 0, 0, 0, 0, 0, 52, 45, 293
"/Users/junioradessu/Documents/ambient-ts-app/src/App/App.test.tsx", "TypeScript React", 0, 0, 17, 0, 0, 0, 0, 0, 4, 21
"/Users/junioradessu/Documents/ambient-ts-app/src/App/App.tsx", "TypeScript React", 0, 0, 1824, 0, 0, 0, 0, 241, 201, 2266
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/Chat.module.css", "CSS", 129, 0, 0, 0, 0, 0, 0, 6, 27, 162
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/Chat.tsx", "TypeScript React", 0, 0, 158, 0, 0, 0, 0, 14, 24, 196
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/ChatButton/ChatButton.module.css", "CSS", 147, 0, 0, 0, 0, 0, 0, 5, 18, 170
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/ChatButton/ChatButton.tsx", "TypeScript React", 0, 0, 54, 0, 0, 0, 0, 2, 5, 61
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/MessageItem/MessageItem.module.css", "CSS", 96, 0, 0, 0, 0, 0, 0, 3, 23, 122
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/MessageItem/MessageItem.tsx", "TypeScript React", 0, 0, 63, 0, 0, 0, 0, 0, 8, 71
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/Chat/devpun.js", "JavaScript", 0, 0, 0, 0, 0, 0, 219, 0, 3, 222
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/GlobalModal/GlobalModal.module.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/GlobalModal/GlobalModal.tsx", "TypeScript React", 0, 0, 16, 0, 0, 0, 0, 0, 5, 21
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/GlobalModal/useGlobalModal.ts", "TypeScript", 0, 0, 0, 19, 0, 0, 0, 7, 10, 36
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PAGEFOOTER.md", "Markdown", 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PageFooter.module.css", "CSS", 59, 0, 0, 0, 0, 0, 0, 7, 8, 74
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PageFooter.test.tsx", "TypeScript React", 0, 0, 7, 0, 0, 0, 0, 0, 3, 10
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageFooter/PageFooter.tsx", "TypeScript React", 0, 0, 67, 0, 0, 0, 0, 7, 8, 82
"/Users/junioradessu/Documents/ambient-ts-app/src/App/components/PageHeader/Account/Account.module.css", "CSS", 100, 0, 0, 0, 0, 0, 0, 2, 14, 116
